loss	train_acc	test_acc
0.278532	0.857143	0.678000
0.278529	0.857143	0.678000
0.278526	0.857143	0.674000
0.278523	0.857143	0.674000
0.278522	0.857143	0.672000
0.278521	0.857143	0.670000
0.278520	0.857143	0.670000
0.278520	0.857143	0.671000
0.278519	0.857143	0.671000
0.278518	0.857143	0.670000
0.278517	0.857143	0.670000
0.278515	0.857143	0.670000
0.278513	0.857143	0.670000
0.278511	0.857143	0.670000
0.278507	0.857143	0.670000
0.278504	0.857143	0.670000
0.278500	0.857143	0.670000
0.278497	0.857143	0.671000
0.278493	0.857143	0.672000
0.278490	0.857143	0.672000
0.278487	0.857143	0.672000
0.278483	0.857143	0.672000
0.278480	0.857143	0.672000
0.278477	0.857143	0.672000
0.278474	0.857143	0.672000
0.278471	0.857143	0.672000
0.278468	0.857143	0.672000
0.278466	0.857143	0.672000
0.278463	0.857143	0.671000
0.278460	0.857143	0.672000
0.278458	0.857143	0.672000
0.278455	0.857143	0.672000
0.278452	0.857143	0.672000
0.278450	0.857143	0.672000
0.278448	0.857143	0.672000
0.278445	0.857143	0.671000
0.278443	0.857143	0.672000
0.278441	0.857143	0.672000
0.278439	0.857143	0.672000
0.278442	0.857143	0.672000
0.278436	0.857143	0.672000
0.278434	0.857143	0.672000
0.278432	0.857143	0.673000
0.278430	0.857143	0.673000
0.278429	0.857143	0.673000
0.278427	0.857143	0.673000
0.278425	0.857143	0.673000
0.278423	0.857143	0.674000
0.278421	0.857143	0.673000
0.278420	0.857143	0.673000
0.278418	0.857143	0.673000
0.278416	0.857143	0.673000
0.278414	0.857143	0.673000
0.278412	0.857143	0.673000
0.278410	0.857143	0.673000
0.278408	0.857143	0.673000
0.278406	0.857143	0.674000
0.278404	0.857143	0.675000
0.278402	0.857143	0.675000
0.278400	0.857143	0.675000
0.278398	0.857143	0.674000
0.278396	0.857143	0.674000
0.278394	0.857143	0.674000
0.278392	0.857143	0.674000
0.278390	0.857143	0.674000
0.278388	0.857143	0.674000
0.278386	0.857143	0.674000
0.278384	0.857143	0.673000
0.278382	0.857143	0.674000
0.278380	0.857143	0.674000
0.278378	0.857143	0.674000
0.278376	0.857143	0.674000
0.278375	0.857143	0.674000
0.278373	0.857143	0.674000
0.278371	0.857143	0.674000
0.278369	0.857143	0.674000
0.278367	0.857143	0.674000
0.278366	0.857143	0.674000
0.278364	0.857143	0.674000
0.278362	0.857143	0.674000
0.278360	0.857143	0.674000
0.278359	0.857143	0.674000
0.278357	0.857143	0.674000
0.278355	0.857143	0.674000
0.278355	0.857143	0.673000
0.278352	0.857143	0.672000
0.278351	0.857143	0.672000
0.278350	0.857143	0.672000
0.278349	0.857143	0.672000
0.278347	0.857143	0.672000
0.278346	0.857143	0.672000
0.278345	0.857143	0.672000
0.278344	0.857143	0.672000
0.278342	0.857143	0.672000
0.278341	0.857143	0.672000
0.278340	0.857143	0.672000
0.278338	0.857143	0.672000
0.278337	0.857143	0.672000
0.278335	0.857143	0.672000
0.278334	0.857143	0.672000
0.278332	0.857143	0.672000
0.278331	0.857143	0.672000
0.278329	0.857143	0.672000
0.278328	0.857143	0.672000
0.278326	0.857143	0.672000
0.278325	0.857143	0.672000
0.278324	0.857143	0.672000
0.278322	0.857143	0.671000
0.278321	0.857143	0.671000
0.278320	0.857143	0.670000
0.278319	0.857143	0.670000
0.278317	0.857143	0.670000
0.278316	0.857143	0.669000
0.278315	0.857143	0.669000
0.278314	0.857143	0.669000
0.278313	0.857143	0.669000
0.278312	0.857143	0.669000
0.278311	0.857143	0.669000
0.278309	0.857143	0.669000
0.278308	0.857143	0.669000
0.278307	0.857143	0.669000
0.278306	0.857143	0.669000
0.278304	0.857143	0.669000
0.278303	0.857143	0.669000
0.278302	0.857143	0.669000
0.278301	0.857143	0.669000
0.278299	0.857143	0.669000
0.278298	0.857143	0.669000
0.278297	0.857143	0.669000
0.278295	0.857143	0.669000
0.278294	0.857143	0.669000
0.278293	0.857143	0.669000
0.278291	0.857143	0.669000
0.278290	0.857143	0.669000
0.278289	0.857143	0.669000
0.278288	0.857143	0.669000
0.278286	0.857143	0.669000
0.278285	0.857143	0.670000
0.278288	0.857143	0.672000
0.278284	0.857143	0.671000
0.278283	0.857143	0.672000
0.278283	0.857143	0.673000
0.278283	0.857143	0.673000
0.278283	0.857143	0.673000
0.278283	0.857143	0.673000
0.278283	0.857143	0.673000
0.278282	0.857143	0.674000
0.278282	0.857143	0.674000
0.278282	0.857143	0.675000
0.278281	0.857143	0.675000
0.278281	0.857143	0.675000
0.278280	0.857143	0.675000
0.278279	0.857143	0.676000
0.278278	0.857143	0.676000
0.278278	0.857143	0.676000
0.278277	0.857143	0.676000
0.278276	0.857143	0.676000
0.278275	0.857143	0.676000
0.278274	0.857143	0.676000
0.278273	0.857143	0.676000
0.278272	0.857143	0.676000
0.278271	0.857143	0.676000
0.278269	0.857143	0.676000
0.278268	0.857143	0.676000
0.278267	0.857143	0.676000
0.278266	0.857143	0.676000
0.278265	0.857143	0.676000
0.278263	0.857143	0.676000
0.278262	0.857143	0.676000
0.278261	0.857143	0.676000
0.278260	0.857143	0.676000
0.278259	0.857143	0.676000
0.278257	0.857143	0.676000
0.278256	0.857143	0.676000
0.278255	0.857143	0.676000
0.278254	0.857143	0.676000
0.278253	0.857143	0.676000
0.278251	0.857143	0.676000
0.278250	0.857143	0.675000
0.278249	0.857143	0.675000
0.278248	0.857143	0.675000
0.278247	0.857143	0.675000
0.278246	0.857143	0.674000
0.278245	0.857143	0.674000
0.278243	0.857143	0.674000
0.278242	0.857143	0.674000
0.278241	0.857143	0.674000
0.278240	0.857143	0.674000
0.278239	0.857143	0.674000
0.278238	0.857143	0.674000
0.278237	0.857143	0.674000
0.278236	0.857143	0.674000
0.278235	0.857143	0.674000
0.278234	0.857143	0.674000
0.278233	0.857143	0.674000
0.278232	0.857143	0.674000
0.278231	0.857143	0.674000
0.278230	0.857143	0.674000
0.278229	0.857143	0.674000
0.278228	0.857143	0.674000
0.278227	0.857143	0.673000
0.278226	0.857143	0.673000
0.278225	0.857143	0.673000
0.278225	0.857143	0.673000
0.278224	0.857143	0.673000
0.278223	0.857143	0.673000
0.278222	0.857143	0.673000
0.278221	0.857143	0.673000
0.278220	0.857143	0.673000
0.278219	0.857143	0.673000
0.278218	0.857143	0.673000
0.278217	0.857143	0.673000
0.278217	0.857143	0.673000
0.278216	0.857143	0.673000
0.278215	0.857143	0.673000
0.278214	0.857143	0.673000
0.278213	0.857143	0.673000
0.278217	0.857143	0.674000
0.278213	0.857143	0.675000
0.278213	0.857143	0.676000
0.278215	0.857143	0.674000
0.278216	0.857143	0.677000
0.278218	0.857143	0.677000
0.278220	0.857143	0.678000
0.278221	0.857143	0.679000
0.278231	0.857143	0.677000
0.278222	0.857143	0.677000
0.278221	0.857143	0.678000
0.278220	0.857143	0.679000
0.278220	0.857143	0.680000
0.278218	0.857143	0.680000
0.278217	0.857143	0.681000
0.278217	0.857143	0.681000
0.278216	0.857143	0.681000
0.278215	0.857143	0.681000
0.278215	0.857143	0.681000
0.278214	0.857143	0.682000
0.278213	0.857143	0.681000
0.278213	0.857143	0.680000
0.278212	0.857143	0.681000
0.278212	0.857143	0.682000
0.278211	0.857143	0.682000
0.278210	0.857143	0.682000
0.278210	0.857143	0.683000
0.278209	0.857143	0.683000
0.278208	0.857143	0.683000
0.278207	0.857143	0.682000
0.278206	0.857143	0.681000
0.278206	0.857143	0.682000
0.278205	0.857143	0.682000
0.278204	0.857143	0.682000
0.278203	0.857143	0.682000
0.278202	0.857143	0.682000
0.278201	0.857143	0.682000
0.278200	0.857143	0.681000
0.278199	0.857143	0.681000
0.278199	0.857143	0.680000
0.278198	0.857143	0.680000
0.278197	0.857143	0.680000
0.278196	0.857143	0.680000
0.278195	0.857143	0.680000
0.278194	0.857143	0.680000
