loss	train_acc	test_acc
0.015151	1.000000	0.756000
0.004300	1.000000	0.757000
0.004020	1.000000	0.759000
0.011544	1.000000	0.760000
0.004663	1.000000	0.759000
0.009412	1.000000	0.758000
0.002995	1.000000	0.757000
0.005152	1.000000	0.758000
0.005748	1.000000	0.761000
0.006045	1.000000	0.758000
0.009806	1.000000	0.759000
0.002525	1.000000	0.759000
0.001868	1.000000	0.759000
0.004559	1.000000	0.762000
0.014940	1.000000	0.762000
0.005812	1.000000	0.763000
0.003843	1.000000	0.763000
0.001583	1.000000	0.763000
0.008288	1.000000	0.763000
0.005253	1.000000	0.763000
0.003149	1.000000	0.763000
0.003395	1.000000	0.763000
0.002975	1.000000	0.764000
0.001884	1.000000	0.762000
0.005580	1.000000	0.763000
0.012651	1.000000	0.764000
0.003142	1.000000	0.764000
0.002805	1.000000	0.764000
0.002582	1.000000	0.764000
0.005306	1.000000	0.764000
0.003386	1.000000	0.764000
0.001504	1.000000	0.761000
0.003051	1.000000	0.760000
0.005242	1.000000	0.760000
0.002676	1.000000	0.759000
0.005130	1.000000	0.758000
0.003676	1.000000	0.758000
0.005950	1.000000	0.758000
0.004451	1.000000	0.759000
0.004389	1.000000	0.763000
0.000977	1.000000	0.760000
0.007038	1.000000	0.756000
0.001656	1.000000	0.752000
0.002392	1.000000	0.751000
0.002047	1.000000	0.748000
0.005786	1.000000	0.745000
0.006296	1.000000	0.745000
0.000902	1.000000	0.746000
0.003120	1.000000	0.740000
0.004142	1.000000	0.740000
0.016389	1.000000	0.746000
0.005518	1.000000	0.750000
0.003762	1.000000	0.751000
0.001650	1.000000	0.752000
0.022270	1.000000	0.754000
0.001761	1.000000	0.757000
0.003028	1.000000	0.759000
0.002461	1.000000	0.759000
0.007730	1.000000	0.762000
0.001579	1.000000	0.760000
0.007009	1.000000	0.761000
0.003594	1.000000	0.757000
0.002110	1.000000	0.756000
0.009049	1.000000	0.758000
0.005428	1.000000	0.760000
0.000860	1.000000	0.763000
0.021671	1.000000	0.763000
0.001427	1.000000	0.760000
0.006759	1.000000	0.757000
0.006180	1.000000	0.758000
0.017077	1.000000	0.758000
0.007775	1.000000	0.758000
0.001308	1.000000	0.757000
0.001661	1.000000	0.755000
0.004811	1.000000	0.754000
0.001588	1.000000	0.753000
0.000809	1.000000	0.751000
0.003812	1.000000	0.751000
0.005074	1.000000	0.749000
0.003134	1.000000	0.749000
0.002083	1.000000	0.747000
0.000921	1.000000	0.748000
0.003682	1.000000	0.749000
0.002400	1.000000	0.746000
0.002170	1.000000	0.746000
0.002781	1.000000	0.746000
0.002301	1.000000	0.746000
0.004813	1.000000	0.746000
0.003252	1.000000	0.746000
0.010191	1.000000	0.747000
0.001153	1.000000	0.748000
0.003666	1.000000	0.750000
0.003128	1.000000	0.751000
0.002275	1.000000	0.749000
0.002127	1.000000	0.750000
0.002133	1.000000	0.750000
0.003773	1.000000	0.748000
0.002570	1.000000	0.746000
0.003330	1.000000	0.744000
0.001985	1.000000	0.744000
0.002334	1.000000	0.743000
0.004005	1.000000	0.745000
0.001835	1.000000	0.745000
0.002672	1.000000	0.746000
0.003709	1.000000	0.745000
0.002774	1.000000	0.745000
0.001412	1.000000	0.745000
0.001651	1.000000	0.745000
0.002582	1.000000	0.746000
0.003749	1.000000	0.745000
0.002005	1.000000	0.745000
0.001179	1.000000	0.745000
0.001473	1.000000	0.745000
0.000995	1.000000	0.744000
0.001000	1.000000	0.744000
0.005511	1.000000	0.744000
0.007165	1.000000	0.744000
0.001790	1.000000	0.748000
0.001449	1.000000	0.750000
0.003886	1.000000	0.749000
0.002478	1.000000	0.750000
0.002204	1.000000	0.752000
