loss	train_acc	test_acc
1.990356	0.371429	0.403000
1.840991	0.435714	0.479000
1.715059	0.514286	0.537000
1.581225	0.564286	0.582000
1.497323	0.635714	0.610000
1.384927	0.671429	0.637000
1.336048	0.771429	0.667000
1.266459	0.828571	0.709000
1.153543	0.885714	0.737000
1.071224	0.907143	0.738000
1.085439	0.914286	0.741000
0.948451	0.935714	0.723000
0.890594	0.921429	0.713000
0.879865	0.950000	0.723000
1.035454	0.971429	0.745000
0.777185	0.978571	0.758000
0.815364	0.971429	0.738000
0.729753	0.964286	0.741000
0.718886	0.964286	0.742000
0.742443	0.964286	0.746000
0.773554	0.964286	0.746000
0.624467	0.964286	0.759000
0.619229	0.964286	0.767000
0.576752	0.964286	0.771000
0.562514	0.971429	0.775000
0.464349	0.971429	0.775000
0.493235	0.985714	0.774000
0.457314	0.992857	0.773000
0.407286	0.992857	0.774000
0.417749	0.992857	0.768000
0.364379	0.992857	0.764000
0.428056	0.992857	0.765000
0.389334	0.992857	0.763000
0.363366	1.000000	0.760000
0.306264	1.000000	0.760000
0.354209	1.000000	0.758000
0.352133	1.000000	0.760000
0.365934	1.000000	0.761000
0.332680	1.000000	0.766000
0.347655	1.000000	0.771000
0.268620	1.000000	0.778000
0.278711	1.000000	0.777000
0.244554	1.000000	0.775000
0.272457	1.000000	0.774000
0.308272	1.000000	0.772000
0.244659	1.000000	0.771000
0.218580	1.000000	0.766000
0.230545	1.000000	0.762000
0.229486	1.000000	0.761000
0.190720	1.000000	0.757000
0.226665	1.000000	0.761000
0.214364	1.000000	0.760000
0.182442	1.000000	0.762000
0.214338	1.000000	0.763000
0.207840	1.000000	0.762000
0.214582	1.000000	0.766000
0.196445	1.000000	0.770000
0.166883	1.000000	0.773000
0.203727	1.000000	0.777000
0.184204	1.000000	0.775000
0.199152	1.000000	0.776000
0.153061	1.000000	0.774000
0.205612	1.000000	0.773000
0.161078	1.000000	0.773000
0.138632	1.000000	0.774000
0.177312	1.000000	0.770000
0.186118	1.000000	0.769000
0.138391	1.000000	0.765000
0.120121	1.000000	0.764000
0.138224	1.000000	0.762000
0.213317	1.000000	0.762000
0.144515	1.000000	0.760000
0.151953	1.000000	0.761000
0.143160	1.000000	0.762000
